id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
8937030,apartment,apartment,99000,for sale,6032,xl,installed,1958,,fueloil,,2,,,,,,,1513,club immobilier,85,Mont-sur-Marchienne
9009309,apartment,apartment,115000,for sale,1020,xl,,,to renovate,gas,,1,,true,,,,,2289047,immobilière georges,44,Laeken
9022884,apartment,flat studio,129000,for sale,8430,xl,,1975,just renovated,,,0,,,,,,,507013,groep caenen middelkerke,40,Middelkerke
8911567,apartment,apartment,140000,for sale,6940,xl,,2021,,gas,,1,,,,,,,1792,maisons et chalets d&#039;ardennes,1,BARVAUX
8957852,apartment,apartment,140000,for sale,7090,xl,,1850,,,,2,,,,,,,3660038,berth immo,90,Braine-le-Comte
7976921,apartment,apartment,142938,for sale,4030,xl,,2019,,gas,,1,,,,,,,2595631,waucomont srl,44,Grivegn%C3%A9e%20(Li%C3%A8ge)
8946590,apartment,apartment,145000,for sale,6000,xl,,1960,good,,,2,,,,,,,2478093,immobilière de l’etoile,89,Charleroi
8966734,apartment,apartment,149000,for sale,3001,xl,installed,,good,fueloil,,1,,,true,,,,1108843,,35,Heverlee
8038683,apartment,apartment,139000,for sale,4600,xl,,,,gas,,2,,,,,,,2595631,waucomont srl,82,Vis%C3%A9
8978043,apartment,apartment,150000,for sale,8300,xl,installed,1980,,gas,,1,,,true,,1,,3530449,lijfrente-makelaar,51,KNOKKE
9023747,apartment,apartment,159000,for sale,1090,xl,installed,1983,,gas,,2,,,true,,,,1330779,just immo,80,Jette
8909924,apartment,apartment,170000,for sale,1400,xl,,,good,fueloil,,2,,,true,,,1,1267919,be home partners,75,Nivelles
8655557,apartment,apartment,160000,for sale,1081,xl,installed,1976,to be done up,gas,,1,,,,,,,2138569,topo-immo bvba,63,Koekelberg
8725093,apartment,apartment,171000,for sale,4500,xl,installed,2019,,gas,,2,,,,,2,,2222,trevi rasquain,84,Huy
8759167,apartment,apartment,175000,for sale,9950,xl,semi equipped,1997,to renovate,,,2,,,,,1,,2193509,immo yves,77,Waarschoot
8662590,apartment,apartment,165500,for sale,8800,xl,installed,2020,as new,gas,,1,,,,,,,106872,dewaele | vastgoed met advies roeselare,65,Roulers
8725094,apartment,apartment,171000,for sale,4500,xl,installed,2019,,gas,,2,,,,,2,,2222,trevi rasquain,84,Huy
8418965,apartment,apartment,178000,for sale,1652,xl,not installed,,,,,1,,,,,,,2041,multimmo bvba,47,Beersel
8587908,apartment,apartment,180000,for sale,1180,xl,,1960,,gas,,1,,,,,,,1961004,go invest uccle,58,Uccle
9019041,apartment,duplex,179000,for sale,5100,xl,,,just renovated,gas,,1,,,,,,,2164972,century 21 la clé,70,Jambes
8765734,apartment,apartment,185000,for sale,1140,xl,,,,,,1,,,,,1,,1483,century 21 berthouts -,38,Evere
8691928,apartment,flat studio,181000,for sale,3000,xl,,1900,as new,,,1,,,,,,,477081,a-venue,16,Louvain
